PROVISIONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accident Ref,Borough,Boro,Latitude,Longitude,Easting,Northing,Location,Accident Severity,No. of Casualties in Acc.,No. of Vehicles in Acc.,Accident Date,Day,Time,Highway,Road Class 1,Road No. 1,Road Type,Speed Limit,Junction Detail,Junction Control,Road Class 2,Road No 2,Ped. Crossing Decoded,Light Condtions (Banded),Weather,Road Surface,Special Conditions,C/W Hazard,Time,Apolicer_Decoded
1200228031,Havering,15,51.59503644,0.22110803,553943,190802,"On Colchester Road, 40 Metres South West Of The Junction With Tangent Link",3 Slight,2,2,43831,Wednesday,43831.19861,1 Tlrn,A,12,3 Dual Cwy,50,00 No Jun In 20M,,,0,9 Unknown (S/R),2 Daylight,7 Fog/Mist,1 Road-Dry,0 None,0 None,43831.19861,3 Self Completion
1200228032,Wandsworth,10,51.45304768,-0.18258842,526375,174240,"On Crieff Road, 40 Metres South Of The Junction With Killarney Road.",2 Serious,1,3,43831,Wednesday,43831.04861,3 Bor,6 Unclassified,0,6 Single Cwy,20,00 No Jun In 20M,,,0,0 No Xing Facility In 50M,1 Dark,1 Fine,2 Road-Wet,0 None,0 None,43831.04861,1 Police - At Scene
1200228037,Sutton,21,51.35303965,-0.13566467,529918,163201,"On Mollison Drive, 15 Metres South Of The Junction With Alcock Close.",3 Slight,1,1,43831,Wednesday,43831.07292,3 Bor,5 C,0,6 Single Cwy,30,03 T/Stag Jun,4 Give Way/Uncontrolled,6 Unclassified,0,0 No Xing Facility In 50M,1 Dark,1 Fine,1 Road-Dry,0 None,0 None,43831.07292,1 Police - At Scene
1200228038,Havering,15,51.5932968,0.20750958,553007,190580,"On Eastern Avenue East, 220 Metres West Of The Junction With Wb Slip Road From Gallows Corner Roundabout",1 Fatal,1,1,43831,Wednesday,43831.1875,1 Tlrn,A,12,3 Dual Cwy,50,00 No Jun In 20M,,,0,0 No Xing Facility In 50M,1 Dark,7 Fog/Mist,2 Road-Wet,0 None,0 None,43831.1875,1 Police - At Scene
1200228039,Islington,3,51.52502472,-0.09195946,532463,182404,"On Old Street Ec1, Near The Junction With Curtain Road Ec1.",3 Slight,2,2,43831,Wednesday,43831.17292,3 Bor,A,5201,3 Dual Cwy,30,06 Crossroads,2 Auto Sig,6 Unclassified,0,4 Pelican Or Similar,1 Dark,1 Fine,1 Road-Dry,0 None,0 None,43831.17292,1 Police - At Scene
1200228045,Tower Hamlets,5,51.51728594,-0.06695814,534220,181589,"On Whitechapel Road, Near The Junction With Fieldgate Street.",3 Slight,1,2,43831,Wednesday,43831.21667,1 Tlrn,A,11,7 Slip Rd,20,03 T/Stag Jun,1 Auth Person,5 C,0,9 Unknown (S/R),1 Dark,1 Fine,1 Road-Dry,0 None,0 None,43831.21667,3 Self Completion
1200228060,Brent,28,51.54977489,-0.30847635,517380,184787,"On Chaplin Road, Near The Junction With Lindthorpe Avenue.",3 Slight,1,2,43831,Wednesday,43831.43403,,6 Unclassified,0,6 Single Cwy,30,09 Other Jun,4 Give Way/Uncontrolled,6 Unclassified,0,0 No Xing Facility In 50M,2 Daylight,1 Fine,1 Road-Dry,0 None,0 None,43831.43403,1 Police - At Scene
1200228077,Lambeth,9,51.45467302,-0.10908685,531477,174550,"On Dulwich Road, Near The Junction With Spenser Road.",2 Serious,1,2,43831,Wednesday,43831.33333,3 Bor,A,2214,6 Single Cwy,30,03 T/Stag Jun,4 Give Way/Uncontrolled,6 Unclassified,0,0 No Xing Facility In 50M,2 Daylight,1 Fine,1 Road-Dry,0 None,0 None,43831.33333,1 Police - At Scene
1200228086,Lambeth,9,51.4705365,-0.1146802,531043,176304,"On Robsart Street, 100 Metres East Of The Junction With Stockwell Park Road.",3 Slight,1,1,43831,Wednesday,43831.58333,3 Bor,6 Unclassified,0,6 Single Cwy,20,00 No Jun In 20M,,,0,0 No Xing Facility In 50M,2 Daylight,1 Fine,1 Road-Dry,0 None,0 None,43831.58333,1 Police - At Scene
1200228087,Sutton,21,51.36262757,-0.16426335,527900,164217,"On The Park , Near The Junction With Carshalton Park Road.",2 Serious,2,1,43831,Wednesday,43831.58681,3 Bor,6 Unclassified,0,6 Single Cwy,30,03 T/Stag Jun,4 Give Way/Uncontrolled,4 B,271,5 Pedn Phase At Ats,2 Daylight,8 Other,1 Road-Dry,0 None,2 Other Object In Cwy,43831.58681,1 Police - At Scene
1200228097,Westminster,1,51.50365922,-0.15099387,528428,179923,"On Park Lane, 30 Metres North Of The Junction With Hyde Park Corner Roundabout.",3 Slight,1,2,43831,Wednesday,43831.60903,1 Tlrn,A,4202,3 Dual Cwy,30,00 No Jun In 20M,,,0,0 No Xing Facility In 50M,2 Daylight,1 Fine,1 Road-Dry,0 None,0 None,43831.60903,1 Police - At Scene
1200228100,Enfield,32,51.61243338,-0.11763215,530432,192078,"On Bowes Road, Near The Junction With Pymmes Road.",3 Slight,2,2,43831,Wednesday,43831.61458,1 Tlrn,A,406,3 Dual Cwy,40,09 Other Jun,4 Give Way/Uncontrolled,6 Unclassified,0,4 Pelican Or Similar,2 Daylight,1 Fine,1 Road-Dry,0 None,0 None,43831.61458,1 Police - At Scene
1200228110,Croydon,20,51.34035419,-0.11395311,531466,161829,"On Brighton Road, Near The Junction With Whytecliffe Road South.",3 Slight,1,2,43831,Wednesday,43831.67847,3 Bor,A,235,6 Single Cwy,30,03 T/Stag Jun,2 Auto Sig,6 Unclassified,0,0 No Xing Facility In 50M,1 Dark,1 Fine,1 Road-Dry,0 None,0 None,43831.67847,1 Police - At Scene
1200228115,Lambeth,9,51.46139258,-0.13842141,529420,175245,"On Clapham Common South Side, 52 Metres West Of The Junction With The Pavement.. The Nearest Classified Road Was The B224",3 Slight,1,1,43831,Wednesday,43831.625,1 Tlrn,A,24,3 Dual Cwy,30,00 No Jun In 20M,,,0,0 No Xing Facility In 50M,2 Daylight,1 Fine,1 Road-Dry,0 None,0 None,43831.625,1 Police - At Scene
1200228120,Croydon,20,51.36030134,-0.09789363,532527,164076,"On Brighton Road, Near The Junction With Upland Road.",2 Serious,1,2,43831,Wednesday,43831.82153,3 Bor,A,235,6 Single Cwy,30,03 T/Stag Jun,4 Give Way/Uncontrolled,6 Unclassified,0,0 No Xing Facility In 50M,1 Dark,1 Fine,1 Road-Dry,0 None,0 None,43831.82153,1 Police - At Scene
1200228123,Kensington & Chelsea,12,51.49526196,-0.17928257,526488,178940,"On Queen'S Gate, Near The Junction With Cromwell Road.",3 Slight,2,2,43831,Wednesday,43831.79167,1 Tlrn,5 C,0,3 Dual Cwy,30,06 Crossroads,2 Auto Sig,A,4,5 Pedn Phase At Ats,1 Dark,1 Fine,1 Road-Dry,0 None,0 None,43831.79167,1 Police - At Scene
1200228124,Barnet,30,51.57117877,-0.23226819,522606,187292,"On Staples Corner, North Circular Road, Near The Junction With Edgware Road.",3 Slight,1,1,43831,Wednesday,43831.76736,1 Tlrn,A,406,1 Roundabout,30,01 Roundabout,2 Auto Sig,A,5,0 No Xing Facility In 50M,1 Dark,8 Other,1 Road-Dry,0 None,0 None,43831.76736,3 Self Completion
1200228126,Haringey,31,51.58704961,-0.08663451,532652,189311,"On Spur Road, Near The Junction With Bourn Avenue.",3 Slight,1,1,43831,Wednesday,43831.75347,3 Bor,4 B,153,6 Single Cwy,30,03 T/Stag Jun,4 Give Way/Uncontrolled,6 Unclassified,0,0 No Xing Facility In 50M,1 Dark,1 Fine,1 Road-Dry,0 None,0 None,43831.75347,1 Police - At Scene
1200228128,Enfield,32,51.63483152,-0.06936387,533708,194656,"On Cambridge Terrace, Near The Junction With Bury Street.",3 Slight,1,3,43831,Wednesday,43831.67014,1 Tlrn,A,10,3 Dual Cwy,40,03 T/Stag Jun,2 Auto Sig,6 Unclassified,0,5 Pedn Phase At Ats,1 Dark,2 Raining,1 Road-Dry,0 None,0 None,43831.67014,1 Police - At Scene
1200228130,Tower Hamlets,5,51.51840055,-0.04523212,535724,181753,"On Stepney Green, 62 Metres East Of The Junction With Redmans Road.",2 Serious,1,2,43831,Wednesday,43831.825,3 Bor,4 B,121,6 Single Cwy,20,00 No Jun In 20M,,,0,0 No Xing Facility In 50M,1 Dark,1 Fine,1 Road-Dry,0 None,0 None,43831.825,1 Police - At Scene
1200228135,Lewisham,7,51.44777961,0.01376291,540033,174011,"On Burnt Ash Hill, 100 Metres South Of The Junction With Westthorn Ave..",3 Slight,1,1,43831,Wednesday,43831.72222,3 Bor,A,2212,7 Slip Rd,30,00 No Jun In 20M,,,0,0 No Xing Facility In 50M,1 Dark,1 Fine,1 Road-Dry,0 None,0 None,43831.72222,1 Police - At Scene
1200228141,Haringey,31,51.59193644,-0.10848886,531124,189815,"On Alexandra Road, Near The Junction With Alexander Road.",3 Slight,1,2,43831,Wednesday,43831.86458,,6 Unclassified,0,2 One-Way St,20,99 Unknown (S/R),9 Unknown (S/R),6 Unclassified,0,9 Unknown (S/R),1 Dark,9 Unknown,9 Unknown (S/R),9 Unknown (S/R),0 None,43831.86458,3 Self Completion
1200228145,Croydon,20,51.39006581,-0.09832728,532411,167385,"On Princess Road, Near The Junction With Na.",3 Slight,1,2,43831,Wednesday,43831.04861,3 Bor,6 Unclassified,0,7 Slip Rd,20,99 Unknown (S/R),9 Unknown (S/R),6 Unclassified,0,0 No Xing Facility In 50M,1 Dark,1 Fine,1 Road-Dry,0 None,0 None,43831.04861,3 Self Completion
1200228148,Brent,28,51.55369141,-0.29265153,518467,185248,"On High Road, 20 Metres South Of The Junction With Park Lane, Wembley.",3 Slight,1,1,43831,Wednesday,43831.79514,3 Bor,A,404,6 Single Cwy,30,03 T/Stag Jun,2 Auto Sig,A,4089,4 Pelican Or Similar,1 Dark,1 Fine,1 Road-Dry,0 None,0 None,43831.79514,1 Police - At Scene
1200228150,Redbridge,14,51.57620557,0.05267261,542336,188367,"On Eastern Avenue, Near The Junction With The Drive.",3 Slight,1,2,43831,Wednesday,43831.99583,1 Tlrn,A,12,3 Dual Cwy,40,03 T/Stag Jun,2 Auto Sig,5 C,0,4 Pelican Or Similar,1 Dark,1 Fine,1 Road-Dry,0 None,0 None,43831.99583,1 Police - At Scene
1200228155,Barking & Dagenham,16,51.53030289,0.14730937,549043,183451,On Merrielands Crescent 18 Meters West Of Junction With Chequers Lane,3 Slight,2,1,43831,Wednesday,43831.27986,3 Bor,5 C,0,9 Unknown,30,03 T/Stag Jun,4 Give Way/Uncontrolled,6 Unclassified,0,9 Unknown (S/R),1 Dark,7 Fog/Mist,1 Road-Dry,0 None,0 None,43831.27986,3 Self Completion
1200228160,Redbridge,14,51.59012279,0.08197155,544322,189972,"On Fremantle Road, Near The Junction With Barkingside High Street.",3 Slight,2,2,43832,Thursday,43832.22222,3 Bor,5 C,0,6 Single Cwy,30,06 Crossroads,2 Auto Sig,A,123,5 Pedn Phase At Ats,1 Dark,1 Fine,2 Road-Wet,0 None,0 None,43832.22222,1 Police - At Scene
1200228164,Kingston-Upon-Thames,23,51.39458573,-0.25295657,521641,167620,"On Malden Way, Near The Junction With Malden Rd.",3 Slight,1,3,43831,Wednesday,43831.92708,1 Tlrn,A,3,7 Slip Rd,30,01 Roundabout,4 Give Way/Uncontrolled,A,2043,1 Zebra,1 Dark,1 Fine,1 Road-Dry,0 None,0 None,43831.92708,3 Self Completion
1200228170,Hackney,4,51.54237436,-0.07619175,533506,184362,"On Kingsland Road, Near The Junction With Richmond Road .",3 Slight,1,2,43832,Thursday,43832.37153,1 Tlrn,A,10,3 Dual Cwy,30,06 Crossroads,2 Auto Sig,5 C,0,1 Zebra,2 Daylight,1 Fine,1 Road-Dry,0 None,0 None,43832.37153,1 Police - At Scene
1200228181,Southwark,8,51.48731831,-0.09529187,532341,178205,"On Walworth Road, 27 Metres North Of The Junction With Carter Place.",2 Serious,1,3,43832,Thursday,43832.36528,3 Bor,A,215,6 Single Cwy,20,00 No Jun In 20M,,,0,1 Zebra,2 Daylight,1 Fine,1 Road-Dry,0 None,0 None,43832.36528,1 Police - At Scene
1200228183,Newham,17,51.50930826,0.07465383,544070,180971,"On Armada Way, 100 Metres North Of The Junction With Atlantis Way .",3 Slight,1,1,43832,Thursday,43832.47222,3 Bor,6 Unclassified,0,3 Dual Cwy,30,00 No Jun In 20M,,,0,0 No Xing Facility In 50M,2 Daylight,1 Fine,2 Road-Wet,0 None,0 None,43832.47222,1 Police - At Scene
1200228203,Barking & Dagenham,16,51.55958314,0.14785082,548985,186708,"On Wood Lane, 31 Metres North Of The Junction With Morris Road.",2 Serious,1,1,43832,Thursday,43832.39931,3 Bor,A,124,6 Single Cwy,30,00 No Jun In 20M,,,0,4 Pelican Or Similar,2 Daylight,1 Fine,1 Road-Dry,0 None,0 None,43832.39931,1 Police - At Scene
1200228205,Wandsworth,10,51.46380012,-0.182982,526318,175435,"On York Road, Near The Junction With Juniper Drive.",3 Slight,1,2,43832,Thursday,43832.61111,1 Tlrn,A,3205,6 Single Cwy,40,09 Other Jun,2 Auto Sig,6 Unclassified,0,0 No Xing Facility In 50M,2 Daylight,1 Fine,1 Road-Dry,0 None,0 None,43832.61111,1 Police - At Scene
1200228206,Brent,28,51.57748,-0.3260228,516093,187840,"On Watford Road, 100 Metres North Of The Junction With Kenton Road.",3 Slight,1,1,43832,Thursday,43832.53472,3 Bor,A,404,6 Single Cwy,30,00 No Jun In 20M,,,0,0 No Xing Facility In 50M,2 Daylight,1 Fine,1 Road-Dry,0 None,0 None,43832.53472,1 Police - At Scene
1200228207,Merton,22,51.42003317,-0.17436214,527038,170583,"On Marlborough Road, Near The Junction With Park Road.",3 Slight,1,2,43831,Wednesday,43831.60347,3 Bor,6 Unclassified,0,6 Single Cwy,20,99 Unknown (S/R),9 Unknown (S/R),6 Unclassified,0,0 No Xing Facility In 50M,2 Daylight,1 Fine,1 Road-Dry,0 None,0 None,43831.60347,3 Self Completion
1200228208,Hillingdon,26,51.57793832,-0.39880292,511049,187778,"On Field End Road, Eastcote, Near The Junction With Morford Way.",3 Slight,1,1,43832,Thursday,43832.5,3 Bor,5 C,0,6 Single Cwy,30,07 Multi Jun,4 Give Way/Uncontrolled,6 Unclassified,0,1 Zebra,2 Daylight,1 Fine,1 Road-Dry,0 None,0 None,43832.5,1 Police - At Scene
1200228211,Havering,15,51.56465163,0.19807146,552449,187375,"On Vicarage Road, 54 Metres South Of The Junction Withhornchurch Road.",3 Slight,2,2,43832,Thursday,43832.40625,3 Bor,6 Unclassified,0,6 Single Cwy,30,00 No Jun In 20M,,,0,1 Zebra,2 Daylight,8 Other,2 Road-Wet,0 None,0 None,43832.40625,3 Self Completion
1200228214,Camden,2,51.51640309,-0.13064491,529804,181376,"On Oxford Street, 10 Metres West Of The Junction With Charing Cross Road.",3 Slight,1,1,43832,Thursday,43832.54444,3 Bor,A,40,6 Single Cwy,30,06 Crossroads,2 Auto Sig,A,40,4 Pelican Or Similar,2 Daylight,1 Fine,1 Road-Dry,0 None,0 None,43832.54444,1 Police - At Scene
1200228233,Redbridge,14,51.60089266,0.04016859,541393,191088,"On Navestock Crescent, Near The Junction With Coopersale Close",3 Slight,1,2,43832,Thursday,43832.58403,3 Bor,6 Unclassified,0,7 Slip Rd,20,03 T/Stag Jun,4 Give Way/Uncontrolled,6 Unclassified,0,9 Unknown (S/R),2 Daylight,1 Fine,2 Road-Wet,0 None,0 None,43832.58403,3 Self Completion
1200228235,Southwark,8,51.50362139,-0.09136988,532566,180025,"On Borough High Street, Near The Junction With 0.",3 Slight,1,2,43831,Wednesday,43831.75694,1 Tlrn,A,3,6 Single Cwy,30,03 T/Stag Jun,2 Auto Sig,6 Unclassified,0,9 Unknown (S/R),1 Dark,1 Fine,2 Road-Wet,0 None,0 None,43831.75694,3 Self Completion
1200228237,Westminster,1,51.52532634,-0.19745803,525144,182252,"On Chippenham Road, 5 Metres North Of The Junction With Elgin Avenue.",3 Slight,1,1,43832,Thursday,43832.59722,3 Bor,5 C,0,6 Single Cwy,30,06 Crossroads,2 Auto Sig,5 C,0,5 Pedn Phase At Ats,2 Daylight,1 Fine,1 Road-Dry,0 None,0 None,43832.59722,1 Police - At Scene
1200228239,Barking & Dagenham,16,51.55555695,0.13042199,547790,186225,"On Valence Wood Road, Near The Junction With Valence Ave .",3 Slight,1,2,43832,Thursday,43832.65069,3 Bor,5 C,0,6 Single Cwy,30,06 Crossroads,4 Give Way/Uncontrolled,6 Unclassified,0,0 No Xing Facility In 50M,2 Daylight,1 Fine,1 Road-Dry,0 None,0 None,43832.65069,1 Police - At Scene
1200228240,Southwark,8,51.48738252,-0.06190039,534659,178273,"On Catlin Street, Near The Junction With Sheppard Drive Se16.",3 Slight,1,2,43832,Thursday,43832.55556,3 Bor,4 B,204,6 Single Cwy,20,99 Unknown (S/R),9 Unknown (S/R),A,2208,9 Unknown (S/R),2 Daylight,1 Fine,1 Road-Dry,0 None,0 None,43832.55556,3 Self Completion
1200228247,Redbridge,14,51.59434061,0.02228927,540175,190325,"On High Road, Near The Junction With Odeon Cinema South Woodford .",3 Slight,1,2,43832,Thursday,43832.59514,3 Bor,A,11,6 Single Cwy,30,08 Priv Drive,4 Give Way/Uncontrolled,6 Unclassified,0,5 Pedn Phase At Ats,2 Daylight,1 Fine,1 Road-Dry,0 None,0 None,43832.59514,1 Police - At Scene
1200228248,Hounslow,25,51.44645711,-0.41375264,510330,173134,"On Hawthorn Road, 50 Metres South Of The Junction With Railway Terrace.",2 Serious,1,2,43832,Thursday,43832.62639,3 Bor,6 Unclassified,0,3 Dual Cwy,20,00 No Jun In 20M,,,0,0 No Xing Facility In 50M,2 Daylight,1 Fine,1 Road-Dry,0 None,0 None,43832.62639,1 Police - At Scene
1200228250,Southwark,8,51.45470068,-0.07105759,534119,174622,"On Underhill Road, Near The Junction With Landells Road.",3 Slight,1,2,43832,Thursday,43832.66319,3 Bor,6 Unclassified,0,6 Single Cwy,20,06 Crossroads,4 Give Way/Uncontrolled,6 Unclassified,0,0 No Xing Facility In 50M,2 Daylight,1 Fine,1 Road-Dry,0 None,0 None,43832.66319,1 Police - At Scene
1200228255,Croydon,20,51.3640085,-0.09857337,532469,164487,"On South End, Near The Junction With Ledbury Road.",2 Serious,1,2,43832,Thursday,43832.65694,3 Bor,A,235,6 Single Cwy,30,07 Multi Jun,2 Auto Sig,4 B,275,4 Pelican Or Similar,2 Daylight,1 Fine,1 Road-Dry,0 None,0 None,43832.65694,1 Police - At Scene
1200228257,Tower Hamlets,5,51.52448988,-0.07410599,533703,182377,"On Redchurch Street, Near The Junction With Club Row.",3 Slight,1,2,43832,Thursday,43832.72778,3 Bor,6 Unclassified,0,6 Single Cwy,20,03 T/Stag Jun,4 Give Way/Uncontrolled,4 B,122,0 No Xing Facility In 50M,1 Dark,1 Fine,1 Road-Dry,0 None,0 None,43832.72778,1 Police - At Scene
1200228263,Hammersmith & Fulham,11,51.51001165,-0.22456489,523305,180503,"On Wood Lane Station, 35 Metres South Of The Junction With Wood Crescent.",3 Slight,1,2,43832,Thursday,43832.61458,3 Bor,A,219,6 Single Cwy,30,00 No Jun In 20M,,,0,5 Pedn Phase At Ats,2 Daylight,1 Fine,1 Road-Dry,0 None,0 None,43832.61458,3 Self Completion
1200228264,Hackney,4,51.56732004,-0.07291768,533660,187142,"On Stamford Hill, Near The Junction With Lampard Grove, London.",3 Slight,1,2,43832,Thursday,43832.65625,1 Tlrn,A,10,6 Single Cwy,20,03 T/Stag Jun,4 Give Way/Uncontrolled,6 Unclassified,0,0 No Xing Facility In 50M,2 Daylight,1 Fine,1 Road-Dry,0 None,0 None,43832.65625,1 Police - At Scene
1200228265,Lambeth,9,51.42335836,-0.11847755,530914,171051,"On Streatham Common North, Near The Junction With Hill Path.",3 Slight,1,1,43832,Thursday,43832.73264,3 Bor,A,214,6 Single Cwy,30,09 Other Jun,4 Give Way/Uncontrolled,6 Unclassified,0,0 No Xing Facility In 50M,1 Dark,1 Fine,1 Road-Dry,0 None,2 Other Object In Cwy,43832.73264,1 Police - At Scene
1200228270,Bromley,19,51.38202248,0.10594039,546648,166879,"On Perry Hall Road, Near The Junction With High Street Orpington.",3 Slight,1,1,43832,Thursday,43832.82639,3 Bor,A,223,2 One-Way St,20,03 T/Stag Jun,4 Give Way/Uncontrolled,A,208,0 No Xing Facility In 50M,1 Dark,1 Fine,1 Road-Dry,0 None,0 None,43832.82639,1 Police - At Scene
1200228271,Kingston-Upon-Thames,23,51.38678728,-0.25645847,521418,166747,"On South Lane, Near The Junction With South Lane.",3 Slight,1,1,43832,Thursday,43832.79653,3 Bor,5 C,0,6 Single Cwy,20,09 Other Jun,4 Give Way/Uncontrolled,6 Unclassified,0,0 No Xing Facility In 50M,1 Dark,1 Fine,1 Road-Dry,0 None,0 None,43832.79653,1 Police - At Scene
1200228273,Greenwich,6,51.45291384,0.03671607,541612,174626,"On Yorkshire Grey  Roundabout, Near The Junction With Eltham Hill.",2 Serious,1,2,43832,Thursday,43832.72847,1 Tlrn,A,205,1 Roundabout,30,01 Roundabout,4 Give Way/Uncontrolled,A,210,0 No Xing Facility In 50M,1 Dark,1 Fine,1 Road-Dry,0 None,0 None,43832.72847,1 Police - At Scene
1200228276,Barking & Dagenham,16,51.57201751,0.14455462,548716,188084,"On Saville Road, 61 Metres South Of The Junction With High Road.",3 Slight,1,1,43832,Thursday,43832.79167,3 Bor,6 Unclassified,0,6 Single Cwy,30,00 No Jun In 20M,,,0,0 No Xing Facility In 50M,1 Dark,1 Fine,1 Road-Dry,0 None,0 None,43832.79167,1 Police - At Scene
1200228279,Sutton,21,51.36974528,-0.18765533,526252,164968,"On Benhill Wood Road, Near The Junction With Oakhill Road.",3 Slight,1,2,43832,Thursday,43832.82639,3 Bor,5 C,0,1 Roundabout,30,02 Mini,4 Give Way/Uncontrolled,5 C,0,0 No Xing Facility In 50M,1 Dark,1 Fine,1 Road-Dry,0 None,0 None,43832.82639,1 Police - At Scene
1200228281,Barnet,30,51.61015319,-0.13930372,528938,191786,"On North Circular Road, 150 Metres West Of The Junction With Bounds Green Road .. The Nearest Classified Road Was The A109. The Nearest Classified Road Was The A109",3 Slight,1,4,43831,Wednesday,43831.75208,1 Tlrn,A,406,3 Dual Cwy,40,00 No Jun In 20M,,,0,0 No Xing Facility In 50M,1 Dark,1 Fine,1 Road-Dry,0 None,0 None,43831.75208,1 Police - At Scene
